State,County,Year_detected
Michigan,Alpena,2007
Michigan,Antrim,2004
Michigan,Arenac,2006
Michigan,Barry,2004
Michigan,Bay,2007
Michigan,Benzie,2005
Michigan,Berrien,2004
Michigan,Branch,2004
Michigan,Calhoun,2003
Michigan,Cass,2007
Michigan,Charlevoix,2005
Michigan,Cheboygan,2004
Michigan,Chippewa,2005
Michigan,Clare,2006
Michigan,Clinton,2004
Michigan,Crawford,2004
Michigan,Delta,2008
Michigan,Eaton,2003
Michigan,Emmet,2004
Michigan,Genesee,2003
Michigan,Gladwin,2006
Michigan,Grand Traverse,2005
Michigan,Gratiot,2004
Michigan,Hillsdale,2004
Michigan,Houghton,2008
Michigan,Huron,2005
Michigan,Ingham,2003
Michigan,Ionia,2005
Michigan,Iosco,2004
Michigan,Isabella,2005
Michigan,Jackson,2003
Michigan,Kalamazoo,2006
Michigan,Kalkaska,2006
Michigan,Kent,2003
Michigan,Keweenaw,2011
Michigan,Lake,2011
Michigan,Lapeer,2004
Michigan,Leelanau,2006
Michigan,Lenawee,2004
Michigan,Livingston,2002
Michigan,Mackinac,2007
Michigan,Macomb,2002
Michigan,Manistee,2004
Michigan,Mason,2005
Michigan,Mecosta,2004
Michigan,Midland,2004
Michigan,Missaukee,2006
Michigan,Monroe,2002
Michigan,Montcalm,2005
Michigan,Montmorency,2005
Michigan,Muskegon,2007
Michigan,Newaygo,2010
Michigan,Oakland,2002
Michigan,Oceana,2004
Michigan,Ogemaw,2004
Michigan,Osceola,2006
Michigan,Oscoda,2004
Michigan,Otsego,2006
Michigan,Ottawa,2003
Michigan,Presque Isle,2004
Michigan,Roscommon,2004
Michigan,Saginaw,2003
Michigan,Sanilac,2004
Michigan,Schoolcraft,2008
Michigan,Shiawassee,2003
Michigan,St. Clair,2003
Michigan,St. Joseph,2004
Michigan,Tuscola,2005
Michigan,Van Buren,2005
Michigan,Washtenaw,2002
Michigan,Wayne,2002
Michigan,Wexford,2011
Minnesota,Carver,2020
Minnesota,Dakota,2015
Minnesota,Hennepin,2010
Minnesota,Houston,2010
Minnesota,Nobles,2019
Minnesota,Olmsted,2014
Minnesota,Ramsey,2009
Minnesota,Rice,2020
Minnesota,Sibley,2020
Minnesota,Winona,2011
Minnesota,Wright,2018
Missouri,Adair,2018
Missouri,Bollinger,2013
Missouri,Butler,2013
Missouri,Caldwell,2019
Missouri,Callaway,2018
Missouri,Cape Girardeau,2018
Missouri,Carroll,2020
Missouri,Cedar,2020
Missouri,Christian,2020
Missouri,Clay,2014
Missouri,Cole,2018
Missouri,Cooper,2019
Missouri,Daviess,2020
Missouri,Douglas,2019
Missouri,Gasconade,2019
Missouri,Greene,2018
Missouri,Harrison,2019
Missouri,Hickory,2019
Missouri,Holt,2019
Missouri,Howard,2019
Missouri,Howell,2019
Missouri,Jackson,2013
Missouri,Jefferson,2018
Missouri,Johnson,2020
Missouri,Lafayette,2020
Missouri,Lewis,2018
Missouri,Lincoln,2018
Missouri,Linn,2019
Missouri,Livingston,2020
Missouri,Madison,2012
Missouri,Moniteau,2020
Missouri,Monroe,2020
Missouri,Montgomery,2019
Missouri,Morgan,2019
Missouri,Nodaway,2019
Missouri,Osage,2019
Missouri,Ozark,2019
Missouri,Perry,2013
Missouri,Pettis,2019
Missouri,Pike,2019
Missouri,Platte,2012
Missouri,Polk,2018
Missouri,Pulaski,2013
Missouri,Putnam,2019
Missouri,Randolph,2019
Missouri,Reynolds,2012
Missouri,Saline,2020
Missouri,St. Charles,2014
Missouri,Sullivan,2020
Missouri,Warren,2018
Missouri,Wayne,2008
Missouri,Webster,2019
Missouri,Wright,2019
New Brunswick / Nouveau-Brunswick,Albert,2020
New Brunswick / Nouveau-Brunswick,Carleton,2020
New Brunswick / Nouveau-Brunswick,Kings,2020
New Brunswick / Nouveau-Brunswick,Madawaska,2018
New Brunswick / Nouveau-Brunswick,Queens,2020
New Brunswick / Nouveau-Brunswick,Sunbury,2020
New Brunswick / Nouveau-Brunswick,Victoria,2020
New Brunswick / Nouveau-Brunswick,Westmorland,2019
New Hampshire,Carroll,2018
New Hampshire,Cheshire,2019
New Hampshire,Grafton,2018
New Hampshire,Hillsborough,2014
New Hampshire,Merrimack,2013
New Hampshire,Rockingham,2014
New Hampshire,Sullivan,2019
New Jersey,Burlington,2014
New Jersey,Gloucester,2019
New Jersey,Mercer,2014
New Jersey,Ocean,2019
