Park,Plot_number,Lat,Lon
Hudson Mills ,4 ,42.378346661 ,-83.913361165 
Kensington ,40 ,42.530433484 ,-83.670415829 
Kensington ,41 ,42.531105911 ,-83.667461239 
Kensington ,42 ,42.531188140 ,-83.666480813 
Kensington ,43 ,42.531246756 ,-83.668975985 
Kensington ,44 ,42.531016091 ,-83.669441113 
Kensington ,45 ,42.531465336 ,-83.668518797 
Brighton ,46 ,42.501084066 ,-83.836591895 
Brighton ,47 ,42.500538548  ,-83.836448898 
Brighton ,48 ,42.500472579 ,-83.835954962 
Pontiac Lake ,49 ,42.676019909 ,-83.483743786 
Hudson Mills ,5 ,42.377963798 ,-83.913092155 
Pontiac Lake ,50 ,42.676395335 ,-83.483365612 
Pontiac Lake ,51 ,42.676951807 ,-83.483544165 
Pontiac Lake ,52 ,42.677375905 ,-83.484202702 
Pontiac Lake ,53 ,42.677635388 ,-83.484940773 
Pontiac Lake ,54 ,42.676193444 ,-83.484580832 
Pontiac Lake ,55 ,42.676286374 ,-83.481618020 
Pontiac Lake ,56 ,42.676440027 ,-83.482231329 
Pontiac Lake ,57 ,42.676555269 ,-83.482769295 
Pontiac Lake ,58 ,42.676976438 ,-83.482257932 
Pontiac Lake ,59 ,42.678471611 ,-83.482157096 
Hudson Mills ,6 ,42.378304020 ,-83.913823321 
Pontiac Lake ,60 ,42.677967786 ,-83.483378311 
Island Lake ,61 ,42.505113866 ,-83.711562996 
Island Lake ,62 ,42.505480148 ,-83.711303969 
Island Lake ,63 ,42.505065428 ,-83.711056709 
Island Lake ,64 ,42.498714583 ,-83.718800344 
Island Lake ,65 ,42.498261638 ,-83.719115879 
Island Lake ,66 ,42.497555435 ,-83.719402800 
Indian Springs ,67 ,42.702597858 ,-83.496523368 
Indian Springs ,68 ,42.702138250 ,-83.496488477 
Indian Springs ,69 ,42.702235130 ,-83.495847280 
Kensington ,7 ,42.535445138 ,-83.667223192 
Indian Springs ,70 ,42.701692197 ,-83.497415971 
Indian Springs ,71 ,42.701292427 ,-83.497406977 
Indian Springs ,72 ,42.701428493 ,-83.497799672 
Indian Springs ,73 ,42.703543695 ,-83.494639363 
Indian Springs ,74 ,42.703753083 ,-83.494151378 
Indian Springs ,75 ,42.702789208 ,-83.493605615 
Indian Springs ,76 ,42.704633032 ,-83.495708965 
Indian Springs ,77 ,42.704812188 ,-83.494821004 
Indian Springs ,78 ,42.704878223 ,-83.494080702 
Indian Springs ,79 ,42.704802615 ,-83.497063729 
Kensington ,8 ,42.535633606 ,-83.666427559 
Indian Springs ,80 ,42.703887018 ,-83.498933418 
Indian Springs ,81 ,42.704519603 ,-83.498038412 
Highland ,82 ,42.648929102 ,-83.556360555 
Highland ,83 ,42.648585613 ,-83.556896170 
Highland ,84 ,42.649398977 ,-83.557614831 
Highland ,85 ,42.645876061 ,-83.550938878 
Highland ,86 ,42.645143710 ,-83.550895683 
Highland ,87 ,42.646372105 ,-83.550621687 
Highland ,88 ,42.647047599 ,-83.552305729 
Highland ,89 ,42.647055380 ,-83.553977407 
Kensington ,9 ,42.535882094 ,-83.667096677 
Highland ,90 ,42.647456601 ,-83.553657622 
Hudson Mills ,91 ,42.378244991 ,-83.911661684 
Hudson Mills ,92 ,42.378254738 ,-83.912291450 
Hudson Mills ,93 ,42.378729796 ,-83.912675889 
Pontiac Lake ,94 ,42.675545414 ,-83.482740706 
Pontiac Lake ,95 ,42.675840278 ,-83.483042401 
Pontiac Lake ,96 ,42.676066644 ,-83.482712812 
