center_tree_number,quadrant_NE_SE_SW_NW,compass_direction,distance_to_center_meters,ash_species,diameter_at_137_cm_in_cm,canopy_condition_1_5,crown_class_D_C_I_S,EAB_exit_holes_y_n,woodpecker_marks_y_n,ash_bark_splitting_y_n,epicormic_sprouts_y_n,basal_sprouts_y_n,galleries_y_n,number_of_EAB_exit_holes_from_125_to_175_cm,number_of_woodpecker_marks_from_125_to_175_cm,tree_tag_info,ash_trees_notes,leaflet_stalk_length_mm
53,NW,300,12.1,?,2.7,5,S,n,n,y,n,y,n,0,0,NA,,
53,NW,301,10,?,4.6,1,I,y,n,y,y,n,n,0,0,tagged - tag label gone,tagged - tag label gone,
53,NW,316,11.9,?,3,1,I,n,n,y,y,n,n,0,0,tagged previously - 13,tagged previously - 13,
53,NW,322,14,?,4.9,1,I,n,n,n,n,n,n,0,0,tagged - tag label gone,tagged - tag label gone,
53,NW,327,15,?,3.4,1,I,n,n,n,n,n,n,0,0,NA,,
53,NW,326,14.7,?,3,1,I,n,n,y,n,n,n,0,0,NA,,
53,NW,334,15.6,?,2.8,1,I,n,n,y,n,n,n,0,0,NA,,
53,NW,331,10.9,?,3.2,1,I,n,n,n,n,n,n,0,0,NA,,
53,NW,336,10.2,?,3.5,1,I,n,n,y,y,n,n,0,0,NA,,
53,NW,328,9.7,?,3.2,1,I,n,n,y,n,n,n,0,0,NA,,
53,NW,338,9,?,2.5,1,S,n,n,n,n,n,n,0,0,NA,smooth bark,
53,NW,341,13.6,?,3,1,I,n,n,y,y,n,y,0,0,NA,,
39,NE,77,2,black,8.53,1,C,n,n,n,n,n,,0,0,NA,,
39,NE,81,3.72,black,6.57,1,I,n,n,n,y,n,,0,0,NA,has samaras hanging from canopy,
39,NE,72,6.75,black,6,1,I,n,n,n,y,n,,0,0,NA,,
39,NE,76,8,?,4.62,5,I,y,y,y,y,y,,0,0,NA,basal sprouts alive,
39,NE,63,6.3,black,9.68,1,C,n,n,n,y,n,,0,0,NA,fresh epicormic sprouts,
39,NE,63,6.3,black,4,1,I,n,n,n,n,n,,0,0,NA,,
39,NE,58,6.9,green or white,2.9,1,I,n,n,y,n,n,,0,0,NA,,
39,NE,58,8.1,black,4.86,1,I,n,n,n,n,n,,0,0,NA,,
39,NE,50,11.6,black,6.5,2,I,n,n,n,y,n,,0,0,NA,leaves small - maybe indicates unhealthy,
39,NE,80,9.5,?,4.6,5,I,y,y,y,y,y,,1,0,NA,,
39,NE,85,12.5,black,5,5,I,n,n,n,n,n,,0,0,NA,,
39,NE,75,12.88,?,5.7,5,I,n,n,y,y,y,y,0,0,NA,galleries,
39,NE,67,14.85,black,4,1,I,n,n,n,n,n,,0,0,NA,,
39,NE,72,16.3,black,3.8,1,I,n,n,n,n,n,,0,0,NA,,
39,NE,72,17.96,green or pumpkin,4.2,2,I,n,n,y,n,n,,0,0,NA,leaves are weird - bark is weird - maybe pumpkin ash,
39,NE,65,17.4,black,3.5,1,I,n,n,n,n,n,,0,0,NA,,
39,NE,65,16.74,black,4,1,I,n,n,y,y,n,,0,0,NA,,
39,NE,65,17.36,black,3.6,1,I,n,n,n,n,n,,0,0,NA,,
39,NE,55,13.7,black,5.8,2,C,n,n,y,y,y,,0,0,NA,leaves are small - maybe indicates unhealthy,
39,NE,55,14.7,black,3.76,1,I,n,n,n,n,n,,0,0,NA,,
39,NE,52,14,green,3.4,2,I,n,n,y,n,y,,0,0,NA,,
39,NE,50,14.5,black,5,1,I,n,n,n,n,n,,0,0,NA,,
39,NE,55,14.3,black,2.9,1,I,n,n,n,n,n,,0,0,NA,,
51,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
52,NW,283,9.55,black,1.7,1,S,n,n,y,n,n,,0,0,Ash number 6,,
54,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
54,NE,,,Zanthoxylum (prickly ash),,,,,,,,,,,,CM 29,,
39,NE,76,1,black,6.2,1,I,n,n,n,n,y,,0,0,,,
39,NE,8,1.59,black,8,5,I,n,y,n,y,y,,0,1,,epicormics living,
39,NE,25,5.22,black,3,1,I,n,n,n,n,n,,0,0,,connected to the one in the next row,
39,NE,25,5.22,black,8.8,5,C,y,y,y,y,y,,1,4,,connected to the one in the previous row,
39,NE,29,11.3,black,5.1,1,,n,n,n,n,n,,0,0,Tagged Ash 2 - July 8 2009,,
39,SE,135,7.07,black,8,1,C,n,n,n,n,n,,0,0,,,
39,SW,187,6.91,black,2.5,1,I,n,n,n,n,n,,0,0,,,
39,SW,208,6.4,black,3.5,1,S,n,n,n,y,y,,0,0,,epicormic is dead,
39,SW,238,5.09,black,7.9,5,I,n,y,y,y,,y,0,3,Tagged - July 8 2009 - Ash 6,found a cerambycid - see photo,
39,SW,260,4.05,black,4.2,1,I,n,n,n,y,n,,0,0,,,
39,SW,260,6.17,black,5.4,2,C,n,n,y,y,n,,0,0,,leaves small,
39,NW,313,4.67,black,4.7,2,I,n,n,n,y,n,,0,0,,leaves small,
39,NW,329,3.54,black,5.5,2,I,n,n,n,y,n,,0,0,,,
39,NW,336,7.42,black,4.5,1,S,n,n,n,y,n,,0,0,,another tree fell on it,
39,NW,333,5.87,black,4.5,5,I,n,n,y,y,n,,0,0,,,
39,NW,353,6.47,black,4.9,3,I,y,n,y,y,y,,0,0,,leaves small,
39,NW,296,14,black,11.5,1,C,n,n,n,n,y,,0,0,,EAB trap 6 is in this tree - there are two stems - 11.5 cm living healthy - and 6.4 cm DBH dead with many signs and symptoms on the dead one,
38,NE,10,1.15,green?,4.6,1,I,n,n,y,y,n,,0,0,,,
38,NW,358,2.38,white?,3.1,2,I,n,n,y,n,n,,0,0,,,
38,NE,4,7.82,black,3.4,1,I,n,n,n,y,n,,0,0,,,
38,NE,35,7.89,black,5,5,I,n,y,y,y,n,,0,2,,,
38,NE,84,7.47,black,5.9,5,I,n,n,y,y,y,y,0,0,,epicormics are big,
38,SE,111,5.76,black,3.6,5,I,n,n,y,y,n,,0,0,,,
38,SE,111,5.76,black,3.6,5,I,y,y,y,n,y,,0,1,,,
38,SE,135,5.92,black,4.4,1,I,n,n,n,n,n,,0,0,,,
38,SE,148,4.93,black,4.4,1,I,n,n,y,y,n,,0,0,,,
38,SE,146,7.52,black,4,1,I,n,n,n,y,n,,0,0,,,
38,SE,172,3.36,black,4.6,1,I,n,n,n,n,n,,0,0,,,
38,SW,,less than 8,black,4.4,1,I,n,n,n,n,n,,,,,,
38,SW,,less than 8,black,6.9,1,I,n,n,n,n,n,,,,,,
38,SW,,less than 8,black,4,1,I,n,n,n,n,n,,,,,,
38,SW,,less than 8,black,4.8,1,I,n,n,n,n,n,,,,,,
38,SW,,less than 8,black,2.7,1,I,n,n,n,n,n,,,,,,
38,SW,,less than 8,green or white,10.3,1,C,n,n,y,n,n,,,,,,
38,SW,,less than 8,black,4.9,1,I,n,n,n,n,n,,,,,,
38,SW,,less than 8,black,3.6,1,I,n,n,n,n,n,,,,,,
38,SW,,less than 8,black,5.5,1,I,n,n,y,n,n,,,,,,
38,SW,,less than 8,black,5.5,2,I,n,n,y,y,n,,,,,,
38,SW,,less than 8,black,7.8,1,I,n,n,y,n,n,,,,,smooth bark,
38,SW,,less than 8,black,3.2,1,I,n,n,y,y,n,,,,,,
38,SW,,less than 8,black,2.6,1,I,n,n,n,n,n,,,,,,
38,SW,,less than 8,black,5,1,I,n,n,y,y,n,,,,,,
38,NW,,less than 8,black,6.3,5,I,n,y,y,y,y,,,,,,
38,NW,,less than 8,green or white,5,1,I,n,n,y,n,n,,,,,,
38,NW,,less than 8,black,6.4,2,I,n,n,n,y,n,,,,,,
38,NW,,less than 8,black,6.3,,I,n,n,n,y,,,,,,original stem is dead,
37,NE,,less than 8,black,5.1,1,I,n,n,n,n,n,,,,,,
37,NW,,less than 8,?,2.9,5,S,n,y,y,n,n,,,,,,
37,NE,,less than 8,black,4.5,1,I,n,n,n,y,n,,,,,,
37,NE,,less than 8,black,5.3,1,I,n,n,n,n,n,,,,,,
37,SE,,less than 8,black,6.6,1,I,n,n,y,y,n,,,,,,
37,SE,,less than 8,black,5.1,5,I,n,n,y,y,y,,,,,,
37,SE,,less than 8,black,8.6,3,C,n,y,n,y,n,,,,,leaves small,
37,SE,,less than 8,black,8.5,4,C,n,y,y,y,n,,,,,,
37,SE,,less than 8,black,3.1,1,I,n,n,y,n,n,,,,,,
37,SE,,less than 8,black,5,5,I,n,n,y,y,n,,,,,,
37,SE,,less than 8,black,7,5,I,y,y,n,y,n,,,,,,
37,SE,,less than 8,black,5.8,3,I,n,y,y,y,n,,,,,,
37,SE,,less than 8,black,5.9,3,I,n,n,y,y,n,,,,,,
37,SE,,less than 8,black,5.4,5,I,n,y,n,y,y,,,,,,
37,SE,,less than 8,black,2.9,2,I,n,n,y,y,y,,,,,,
37,SE,,less than 8,black,5.8,5,S,n,n,y,y,y,,,,,,
37,SE,,less than 8,black,3.9,5,I,n,n,y,y,n,,,,,,
37,SE,,less than 8,black,8.7,3,C,n,n,n,y,n,,,,,leaves small,
37,SE,,less than 8,black,5.3,1,I,n,n,n,n,n,,,,,,
37,SE,,less than 8,black,4.1,1,I,n,n,n,n,n,,,,,,
37,SE,,less than 8,black,8.5,3,I,n,y,y,y,n,,,,,,
37,SE,,less than 8,black,6.2,1,I,n,n,n,n,n,,,,,,
37,NW,,less than 8,black,6.6,5,I,n,y,y,y,y,,,,,,
37,NW,,less than 8,black,6,5,I,n,y,y,y,n,,,,,,
37,NW,,less than 8,black,9.5,1,I,n,n,n,n,y,,,,,,
37,NW,,less than 8,black,6.5,2,I,n,n,y,y,n,,,,,,
37,NW,,less than 8,black,6.1,1,I,n,n,n,n,n,,,,,,
37,NW,,less than 8,black,5,5,I,n,y,y,y,y,,,,,,
37,NW,,less than 8,black,6.2,1,I,n,n,y,y,n,,,,,,
37,NW,,less than 8,black,6,1,I,n,n,n,n,n,,,,,,
37,NW,,less than 8,black,4.6,1,I,n,n,y,y,n,,,,,,
37,SW,220,14.3,green or white,11.4,1,C,n,n,n,n,n,,,,,,
25,NE,,less than 8,?,4.8,5,S,n,y,y,y,n,,,,,,
25,SE,,less than 8,black,3.4,3,S,n,n,y,y,y,,,,,,
25,SE,,less than 8,black,2.7,5,S,n,y,y,y,y,,,,,,
25,SW,,less than 8,green or white,3.1,1,I,n,n,y,n,n,,,,,,
25,SW,,less than 8,black,3,5,I,n,n,y,y,y,,,,,,
25,NW,,less than 8,black,2.6,2,I,n,n,n,y,n,,,,,,
25,NW,,less than 8,?,5.7,5,I,n,y,y,y,n,,,,,,
25,NW,,less than 8,black,2.7,2,S,n,n,y,y,n,,,,,,
25,NE,,17.8,green,2.9,1,I,n,n,y,y,n,,,,,had samaras that were collected and are in the binder - another tree fell on it,
57,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NW,,less than 8,green or white,3.2,1,S,n,n,n,n,n,,,,,,
33,NW,,less than 8,green or white,2.6,1,S,n,n,n,n,n,,,,,,
33,SW,,less than 8,black,3.1,5,S,n,y,y,y,n,,,,,,
33,SW,,less than 8,green or white,3.3,1,S,n,n,y,n,n,,,,,,
31,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NE,,less than 8,green,4.6,1,I,n,n,n,n,n,,,,Ash number 7 - 08_18_2009,,
63,NE,,less than 8,green or white,4,1,I,n,n,n,n,n,,,,,,
63,NE,,less than 8,green or white,6,1,I,n,n,n,n,n,,,,,,
63,NE,,less than 8,green or white,3.5,1,I,n,n,n,n,n,,,,,,
63,NE,,less than 8,green or white,2.7,1,I,n,n,n,n,n,,,,,,
63,NE,,less than 8,green or white,3,1,S,n,n,n,n,n,,,,,,
63,NW,,less than 8,?,3.8,2,S,n,n,y,n,n,,,,,another tree fell on it,
63,NW,,less than 8,green or white,4.2,1,I,n,n,y,n,n,,,,,,
63,NW,,less than 8,green or white,2.5,1,S,n,n,y,n,n,,,,,,
63,NW,,less than 8,green or white,4.8,1,I,n,n,y,n,n,,,,Ash number 3 - 08_18_2009,,
63,NE,,less than 8,green or white,6.2,1,I,n,n,y,n,n,y,,,,,
63,NW,,less than 8,green or white,2.6,2,I,n,n,n,n,n,,,,,,
63,NW,,less than 8,green or white,3,2,I,n,n,y,n,n,,,,,,
63,NW,,less than 8,green or white,5.8,1,C,n,n,y,n,n,,,,,,
63,NW,,less than 8,green or white,4.4,1,C,n,n,y,n,n,,,,,,
63,NW,,less than 8,green or white,4.1,4,I,n,n,y,n,n,,,,,,
63,NW,,less than 8,green?,6.5,2,I,n,n,y,n,n,,,,,,
63,NW,,less than 8,green?,2.6,1,I,n,n,y,n,n,,,,,,
63,NW,,less than 8,green?,7.4,5,I,n,y,y,y,y,,,,,,
63,NW,,less than 8,green?,8.5,2,C,n,n,y,n,n,,,,,leaves small,
63,NW,,less than 8,green?,3,1,S,n,n,y,n,y,,,,,,
63,NE,,less than 8,green,2.8,1,S,n,n,n,n,n,,,,,,
63,NE,,less than 8,green,4,1,I,y,n,y,n,n,,,,,,
63,NW,,less than 8,green or white,2.9,1,I,n,n,n,n,n,,,,,,
63,NW,,less than 8,green?,3.5,3,S,n,n,y,n,y,,,,Ash number 1 - 08_18_2009,,
63,NW,,less than 8,green,8.5,4,C,n,n,y,y,y,,,,,,
63,NW,,less than 8,green,7.2,2,I,n,n,y,n,n,,,,,,
63,NW,,less than 8,green,7.4,1,C,n,n,y,n,n,,,,,,
63,NW,,less than 8,green,8.3,5,C,n,n,y,y,n,,,,,,
63,NW,,less than 8,green,4.5,1,I,n,n,y,n,n,,,,,,
63,NW,,less than 8,green,5.2,1,I,n,n,n,n,n,,,,,,
63,NW,,less than 8,green,5.2,1,I,n,n,y,n,n,,,,,,
63,NW,,less than 8,green,2.9,1,S,n,n,n,n,n,,,,,,
63,NW,,less than 8,green,7.9,4,I,n,y,y,y,y,,,,,,
63,NW,,less than 8,green,6.4,1,I,n,n,y,n,n,,,,,,
63,NW,,less than 8,green,4.9,1,I,n,n,y,n,n,y,,,,,
63,NW,,less than 8,green,5.2,1,I,n,n,n,n,n,,,,,,
63,SW,,less than 8,green,4.9,2,C,n,n,y,n,n,,,,,,
63,SW,,less than 8,green,5.5,1,C,n,n,n,n,n,,,,,,
63,SW,,less than 8,green,4.3,1,I,n,n,y,n,n,y,,,,,
63,SW,,less than 8,green,2.9,1,I,n,n,n,n,n,,,,,,
63,SW,,less than 8,green,4.6,1,I,n,n,n,n,n,,,,,,
63,SW,,less than 8,green,5.1,1,I,n,n,n,n,n,,,,,,
63,SW,,less than 8,green,4.3,1,I,n,n,y,n,n,,,,,,
63,SE,,less than 8,green,2.9,1,S,n,n,n,n,n,,,,,,
63,SE,,less than 8,green,2.9,1,I,n,n,n,n,n,,,,,,
63,SE,,less than 8,green,4.3,1,S,n,n,y,n,n,y,,,,,
63,SE,,less than 8,green,6.4,1,I,n,n,y,n,y,,,,,,
63,SE,,less than 8,green,4.2,1,I,n,n,y,n,y,,,,,,
63,SE,,less than 8,green,3.6,1,I,n,n,y,n,n,,,,,,
63,SE,,less than 8,green,8.5,5,I,n,y,y,y,y,,,,,sprouts living,
63,SE,,less than 8,green,3.3,1,I,n,n,n,n,n,,,,,,
63,NE,,less than 8,green,4,1,I,n,n,n,n,n,,,,,,
63,SE,,less than 8,green,3,2,I,n,n,y,y,n,y,,,Ash number 5 - 08_18_09,,
63,SE,,less than 8,green,4,1,I,n,n,y,n,n,y,,,,,
63,SE,,less than 8,green,3.9,1,I,n,n,y,n,n,,,,,,
63,SE,,less than 8,green,2.8,1,I,n,n,y,n,n,,,,,,
63,SE,,less than 8,green,2.7,1,I,n,n,n,n,n,,,,,,
63,SE,,less than 8,green,4.1,1,I,n,n,y,n,n,y,,,,,
63,SE,,less than 8,green,2.5,1,S,n,n,n,n,n,,,,,,
63,SE,,less than 8,green,6.8,1,I,n,n,y,n,n,,,,,,
63,SE,,less than 8,green,7.1,2,I,n,n,n,n,n,,,,,,
63,NW,,less than 8,black,9.5,5,I,n,y,y,y,n,y,,,Frax number 9 - 04_08_2011,,
56,NW,,between 8 and 18,black,9.4,1,I,n,n,n,n,n,,0,0,,,
86,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NE,,less than 8,green,2.7,1,I,n,n,y,n,n,n,,,,,
78,NE,,less than 8,black,4.8,1,I,n,n,y,n,n,n,,,,,
78,NE,,less than 8,green,3.1,1,I,n,n,y,n,n,n,,,,,
78,NE,,8.32,green or white,4.6,1,I,n,n,n,n,n,n,,,Ash number 8 - re-tag - Frax sp. 2013,,
78,NE,,less than 8,green,2.5,1,I,n,n,y,n,n,n,,,,,
78,SE,,less than 8,green,3,1,I,n,n,n,n,n,n,,,,,
78,SE,,less than 8,green,2.4,1,I,n,n,n,n,n,n,,,Ash number 1 - re-tag - 2013,,
78,SE,,less than 8,green,2.8,1,I,n,n,y,y,n,y,,,,,
78,SE,,less than 8,green white or pumpkin,2.9,1,I,n,n,n,n,n,n,,,,,
78,SE,,less than 8,green,3.8,1,I,n,n,y,n,n,n,,,,,
78,SE,,less than 8,green,2.7,1,I,n,n,n,n,n,n,,,,,
78,SE,,less than 8,green,3.6,1,I,n,n,n,n,n,n,,,Ash number 2 - 07_09_2009,,
78,SE,,less than 8,green,2.9,1,I,n,n,y,n,n,n,,,,,
78,SE,,less than 8,green,3.3,1,I,n,n,n,n,n,n,,,,,
78,SE,,8.64,green,4.3,1,I,n,n,n,n,n,n,,,Frax sp. number 10 - 07_24_2011,,
76,SW,,12.26,green,2.8,1,I,n,n,n,n,n,n,,,,,
76,SW,,less than 8,green,2.9,1,S,n,n,n,n,n,n,,,,,
73,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75_north,,,8.07,green or white,2.7,1,S,n,n,y,n,n,n,,,Ash number 3 - 07_09_2009,,
75_north,,,less than 8,?,13.7,5,I,y,y,y,n,y,y,,,,very dead,
75_north,,,22.8,green or white,15.6,5,C,n,y,y,n,y,y,,,,,
75_north,,,26.64,green or white,16.9,3,C,n,n,n,y,y,n,,,,,
75_south,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NE,,17.12,black,4.4,1,S,n,n,y,n,n,n,,,,,
109,SE,,27.77,green or white,9.6,1,I,n,n,y,n,n,y,,,,,
100,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,SW,,less than 8,green or white,2.7,1,S,n,n,y,n,n,n,,,,,
113,SE,,less than 8,green or white,2.8,1,S,n,n,y,n,n,n,,,,,
113,NW,,less than 8,green or white,2.5,1,S,n,n,y,n,n,n,,,,,
113,NW,,less than 8,green or white,3,1,S,n,n,n,n,n,n,,,,overtaken by vines,
114,NE,,less than 8,green or white,2.5,1,S,n,n,n,n,n,n,,,,,
114,SE,,less than 8,green or white,2.6,1,S,n,n,n,n,n,n,,,,,
114,NW,,less than 8,green or white,3,1,S,n,n,y,n,n,n,,,,,
110,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NE,,8.38,green or white,5.8,1,I,n,n,y,n,n,n,,,,,
69,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,SW,222,7,black,,5,S,n,n,y,n,y,n,,,tagged - tag label missing - note: not counted in the sapling datasheet,The basal sprout is living and healthy,
70,NW,294,12.5,black,4.4,1,I,n,n,y,n,n,n,,,Ash 3 - 08_04_2009 - tree tag is girdling the tree,,
70,NW,330,11.8,black,3.8,1,S,n,n,y,n,n,n,,,Ash 6 - 08_04_2009,,
71,NE,,less than 8,?,44.5,5,C,y,n,y,n,n,y,,,,,
71,SW,,less than 8,black,4,1,S,n,n,n,n,n,n,,,,,
71,NW,,less than 8,green or pumpkin,3.7,1,S,n,n,y,n,n,n,,,,,
71,SE,155,24.95,green?,10.5,1,I,n,n,y,n,n,n,,,,,
71,SE,,17.4,green?,9.9,1,I,n,n,y,y,n,n,,,,,
71,SE,,17.71,black?,12.2,5,I,n,y,y,y,n,y,,,,,
71,SW,220,22.08,green?,12.7,,,n,n,y,n,n,n,,,,small leaves,
71,NW,290,18.69,?,10.5,3,I,y,y,y,y,y,y,,,,small leaves,
71,NW,314,15.28,?,12.4,1,S,n,n,n,n,n,n,,,,has a very low branch that is dead - also I think this one was a green ash and not a black ash but I forgot to write that on the datasheet,
67,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,SW,,20.68,green or white,16,4,I,n,y,y,y,n,y,,,,,
43,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,SE,140,18.43,green,12.3,3,I,n,y,y,y,n,n,,,,tree is crooked - epicormics have grown big,
85,NE,,11.08,hickory,,,,,,,,,,,,Frax number 5 - 06_15_2010,,
85,SE,,31,green or white,2.9,3,S,n,n,y,n,y,n,,,,,
87,NE,,less than 8,?,3.5,5,S,y,n,y,y,y,n,,,Ash 2 - 06_17_2010,,
87,NW,286,13.11,green or white,5.2,1,I,n,n,y,n,n,n,,,,,
87,NW,,20.65,black,4,1,S,n,n,n,n,n,n,,,white and orange flagging,,
88,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NE,,15.65,green or white,2.6,1,S,n,n,y,n,n,n,,,,On a tip-up mound thus gets a few more feet of height into the upper understory,
83,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,SW,,greater than 18,black,2.2,2,I,n,n,n,y,n,n,,,,,
58,NW,,17.76,green or white,2.6,2,S,n,n,n,n,n,n,,,,There are more of this size,
16,SE,275,15.22,green,2.6,2,S,n,n,n,n,n,n,,,Ash 1 - 07_20_2009,,
16,SE,275,15.22,green,4.3,1,S,n,n,n,n,n,n,,,Ash 2 - 07_20_2009,,
18,NE,,less than 8,black,2.8,1,S,n,n,n,n,n,n,,,,,
18,NE,,less than 8,black,3.2,1,S,n,n,y,y,n,n,,,,,
